title_dd,body_dd
위쿡 “누적 투자금 222억…‘각양각색’ 공유주방 선보인다”,배달형·반찬가게형·식당형·제조형 19곳 목표
위쿡 “누적 투자금 222억…‘각양각색’ 공유주방 선보인다”,"기업간거래, 복수영업 제한 규제샌드박스 신청"
위쿡 “누적 투자금 222억…‘각양각색’ 공유주방 선보인다”,"위쿡을 운영하는 심플프로젝트컴퍼니는 30일 오전 서울 사직동 사무실에서 기자간담회를 열고 이같이 밝혔다. 위쿡은 2015년 10월 문을 연 국내 첫 민간 공유주방업체다. 공유주방은 외식사업자에게 주방 설비와 기기가 갖춰진 공간을 임대하는 서비스로, 여러 입점업체가 주방 시설을 공유하는 공용주방과 16~33㎡ 규모 공간을 임차하는 개별주방으로 나뉜다. 외식업 예비창업자 등이 초기 비용을 줄이고 시장을 탐색하기 위해 많이 찾는다.   위쿡은 지난 6개월간 160억원 규모의 추가 투자를 유치했다. 2017년 12월 이후 누적 투자금액은 222억원에 이른다. 투자에는 대상홀딩스 계열 유티시(UTC)인베스트먼트, 옐로우독, 디티앤인베스트먼트(DTNI), 나우아이비캐피탈, 미래에셋-GS리테일, 롯데액셀러레이터, 이지스자산운용 등이 참여했다. 이 가운데 15억원을 투자한 롯데와는 별도 협업도 진행하고 있다. 롯데호텔 셰프 200여명에게 공유주방을 연구개발 공간으로 제공하고, 공유주방에서 만들어진 브랜드 제품을 롯데지알에스와 롯데쇼핑 등 유통 채널을 통해 판매하는 등 방식이다."
위쿡 “누적 투자금 222억…‘각양각색’ 공유주방 선보인다”,"위쿡은 투자금을 활용해 다양한 형태의 공유주방을 19곳으로(현재 3곳) 확대하겠다고 밝혔다. 먼저 경쟁업체들이 다수 진출해 있는 배달형 점포를 5곳 확장할 방침이다. 우버 창립자 트래비스 캘러닉이 세운 ‘클라우드 키친’이나 ‘먼슬리 키친’ 등이 비슷한 형태다. 배달 인력은 일부 직접 고용하겠다는 계획이다. 김기웅 심플프로젝트컴퍼니 대표는 “배달은 배달음식점의 본질인 만큼, 아웃소싱보다는 자체 인력을 통해 서비스를 제공할 생각”이라고 했다. 이밖에 푸드코트 형태의 식당형 지점 6곳, 공유주방에서 만든 음식을 반찬 가게에서처럼 판매하는 그로서리형 지점 3곳, 온라인몰로 판매하는 제품을 만드는 제조형 지점 5곳 등도 추가할 계획이다. 김 대표는 “3년 안에 전국에 180여개 지점을 만드는 게 목표”라고 했다."
위쿡 “누적 투자금 222억…‘각양각색’ 공유주방 선보인다”,"위쿡은 기업간(B2B) 거래와 복수 입점업체의 영업을 제한하던 관련 규제도 손질될 것으로 내다봤다. 현행 식품위생법 시행규칙은 1개 사업장에서 영업할 수 있는 업체를 1곳로 제한하고 있다. 이에 따라 공용주방에서 생산한 제품은 판매가 제한돼 왔다. 또 즉석판매제조 가공업은 소비자 대상 직접 판매에 한해 허용돼, 기업간 거래는 어려웠다. 위쿡은 지난 2월 두가지 규제에 대해 규제샌드박스(신기술의 편익이 크지만 기존 제도에 따라 시행이 어려울 경우, 일정 기간 동안 규제를 적용하지 않고 실험해볼 수 있도록 허용하는 것) 신청을 했다. 위쿡은 “위생관리책임자 지정, 운영 가이드 준수, 식품표시사항 기재, 자가품질 검사 등 식품 안전성 확보 등을 지키는 조건으로 가이드라인을 만들어왔다”며 “사전검토위원회, 심의위원회 등이 차질 없이 진행되면 3분기 안에 지정이 가능할 것으로 예상하다”고 했다."
위쿡 “누적 투자금 222억…‘각양각색’ 공유주방 선보인다”,[ⓒ한겨레신문 : 무단전재 및 재배포 금지]
회사채 미상환 잔액 사상 첫 500조 돌파,1년새 50조·4월에만 7조 증가
회사채 미상환 잔액 사상 첫 500조 돌파,한은 기준금리 인하 기대감
회사채 미상환 잔액 사상 첫 500조 돌파,"회사채 미상환 발행잔액이 500조원을 돌파했다. 금융회사와 대기업이 저금리로 조달비용이 저렴해지자 회사채 발행을 크게 늘리고 있다. 미중 무역분쟁으로 인한 불안감이 커지면서 안전자산 선호현상이 강해지는 데다, 한국은행의 기준금리 인하 가능성까지 거론되는 만큼 상당기간 지속될 전망이다."
회사채 미상환 잔액 사상 첫 500조 돌파,30일 금융감독원에 따르면 4월말 기준 회사채 미상환 잔액은 500조1217억원으로 전월(494조 3702억원) 대비 5조 7515억원 증가했다. 은행채 및 일반 회사채 등을 모두 포함한 수치다. 회사채 미상환 수치가 지난해 3월 450조6000억원이었던 것에 비하면 1년 새 50조 가까이 증가한 셈이다.
