title_dt,body_dt
"올 상반기 식품업계, ‘가정간편식(HMR)’이 多~했다!","29일 식품의약품안전처의 ‘2018년 국내 식품생산실적 통계’에 따르면 식품 유형 중 즉석조리?편의식품이 지난해 급성장 한 것으로 나타났다. 가정간편식으로 팔리는 즉석조리?편의식품 생산실적은 2018년 3조40억원으로 전년과 비교해 13.7% 증가했다. 2016년 14.3%, 2017년 22.6% 등으로 성장률이 꾸준히 증가하고 있다. 업계는 올해 가정간편식(HMR) 시장 규모가 4조원에 육박할 것으로 전망하고 있다."
"올 상반기 식품업계, ‘가정간편식(HMR)’이 多~했다!","한국농촌경제연구원이 ‘국내 식품제조업과 업종별 동향, 교역 동향’을 분석한 결과에 따르면, 2019년 1~5월 식품제조업의 육류가공업은 출하량이 7.9% 증가했으며 이러한 증가는 가정간편식 시장의 성장이 주 요인이라고 분석했다. 또한 기타식품 제조업의 출하액 역시 전년대비 2.6% 증가했으며, 기타식품 중 가정간편식의 출하액이 크게 증가한 것으로 분석했다."
"올 상반기 식품업계, ‘가정간편식(HMR)’이 多~했다!","가정간편식의 수요가 증가하는 주요 원인으로는 ‘편의성’, ‘시간 단축’, ‘가성비’를 꼽는다. 1인 가구의 증가로 사람들이 보다 손쉽고 간편한 요리를 선호하고, ‘소확행’, ’홈파티’ 등의 문화가 확산되면서 외식보다는 집에서 근사한 요리를 빠르게 만들어 먹는 것을 즐기는 사람이 늘면서 가정간편식이 주목받기 시작했다. 뿐만 아니라 정량의 재료로 포장되어 있어 잔반 걱정 없이 경제적이라는 이유로 많은 사람들이 찾고 있다."
"올 상반기 식품업계, ‘가정간편식(HMR)’이 多~했다!","롯데멤버스가 지난 3월 20~60대 남녀 총 4900명 대상으로 실시한 조사에 따르면, 10명 중 8명 이상인 82.7%이 가정간편식을 이용해봤다고 응답했다. ‘식사 준비가 쉽고 빨라서 구입한다’는 비율이 응답자의 68%를 웃돌았다. 직접 재료를 사서 이용하는 것보다 저렴하기 때문에 가정간편식을 이용한다는 응답도 37.4%에 달했다."
"올 상반기 식품업계, ‘가정간편식(HMR)’이 多~했다!",가정간편식의 수요가 급증하자 대형 유통업체를 비롯해 대형마트와 주요 육류가공업체 등에서 가정간편식 브랜드를 만들어 경쟁에 박차를 가하고 있다. 신세계푸드의 가정간편식인 ‘올반 삼계탕’은 지난 5월부터 두 달 동안 6만5000개가 팔렸다. 이는 지난해 같은 기간 2만8000개가 판매된 것에 비해 132% 증가한 수준이다.
"올 상반기 식품업계, ‘가정간편식(HMR)’이 多~했다!",요리연구가 빅마마가 자신만의 육수 비법을 담아 자신 있게 내놓은 가정간편보양식인 ‘이혜정의 일품 소한마리탕’도 작년 NS홈쇼핑에서 판매를 시작한 이래 60만 개 이상이 팔리는 등 지속적인 인기를 얻고 있다. ‘이혜정의 일품 소한마리탕’은 체계적인 관리 시스템을 통해 안전하게 생산된 우수한 품질의 북미산 프리미엄 소고기 브랜드 ‘엑셀비프(Excel®)’의 갈비와 빅마마 이혜정만의 비법 육수로 맛과 영양을 모두 잡았다. ‘엑셀 비프(Excel®)’는 국내 미국산 소고기 시장 점유율의 37%를 차지할 정도로(2018년 5월 미국 PIERS 리포트 기준) 한국에서 위상을 굳건히 하고 있는 고품질 소고기 브랜드다.
"올 상반기 식품업계, ‘가정간편식(HMR)’이 多~했다!",식품업계는 이러한 인기에 따라 다양한 콜라보레이션을 통한 가정간편식을 출시해 소비자의 마음을 사로 잡고 잡기 위한 마케팅에 열을 올리고 있다. HMR 가정간편식 전문기업 ㈜프레시지는 최근 tvN 인기 예능 프로그램인 ‘삼시세끼 산촌편’과 콜라보한 ‘구수한 버섯 된장찌개’와 ‘돼지고기 고추장찌개’ 밀키트를 론칭했다. 방송에서 출연진이 직접 요리한 레시피를 구현한 가정 간편식으로 다른 가정간편식과 차별화를 시도했다.
"올 상반기 식품업계, ‘가정간편식(HMR)’이 多~했다!","떡볶이 브랜드 죠스떡볶이는 11번가와 콜라보레이션한 신제품 '매워죠스'와 '마라죠스' 세트를 출시해 5000개 한정 판매한다. 수요가 증가하고 있는 가정간편식에 외식업계에 불고있는 매운 맛과 마라 맛 열풍을 반영했다. 이번 신제품은 기존 죠스떡볶이보다 11배 매운 매워죠스 3개와 특제 마라소스로 풍미를 더한 마라죠스 3개, 스틱형 분말 음료 '죠스쿨' 12개, 죠스 캐릭터 모양의 액세서리 '죠스키링' 등으로 구성됐다."
"올 상반기 식품업계, ‘가정간편식(HMR)’이 多~했다!",업계 관계자는 “1인 가구의 증가와 편의성을 중시하는 소비자 특성이 뚜렷하게 나타남에 따라 가정간편식 시장은 계속 성장할 것으로 보인다”며 “대기업을 비롯한 식품업계의 가정간편식 경쟁도 더욱 치열해지면서 보다 다양한 제품들이 출시 될 것으로 예상된다”고 말했다.
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',올여름 지난해보다 상대적으로 선선한 날씨가 이어지면서 유통업계가 여름 특수를 누리지 못한 것으로 나타났습니다.
